idx,rougeL_f1,src,ref,pred
257,0.2608695652173913,"#Person1#: 안녕하세요. 런던 가는 기차 시간 좀 알려주시겠어요?
#Person2#: 네. 7시 59분, 9시 18분, 10시 32분 기차가 있습니다.
#Person1#: 7시 59분 기차는 몇 시에 런던에 도착하나요?
#Person2#: 9시 36분이에요.
#Person1#: 돌아오는 건 어떻게 되죠? 저는 저녁 7시쯤 돌아오고 싶은데요.
#Person2#: 7시 10분과 7시 40분 기차가 있어요.
#Person1#: 음, 왕복 티켓 가격은 얼마예요?
#Person2#: 오후 4시 이전이나 오후 6시 이후에 타시면 세이버 왕복표가 9파운드고, 일반 왕복표는 16파운드입니다.
#Person1#: 그럼 일반 왕복표로 주세요.","#Person1#이 #Person2#에게 런던 가는 기차와 돌아오는 기차 시간을 물어본 후, 일반 왕복표를 구입합니다.",#Person1#: 안녕하세요. 런던 가는 기차 시간 좀 알려주시겠어요? #Person2#: 네.
260,0.2580645161290323,"#Person1#: 지난 주말에 집에만 있고 싶어서 혼자 비디오 게임을 했어. 진짜 재밌더라! 
#Person2#: 아, 그래? 꽤 괜찮았겠다. 
#Person1#: 응, 나 완전 비디오 게임에 빠졌어. 사실 친구들은 다 인터넷에서 만난 사람들이야. 현실에서는 만난 적이 없거든. 
#Person2#: 진짜? 인터넷에서는 인기가 많겠다. 그래도 집에서 편하게 할 수 있는 게 장점이긴 하잖아.","#Person1#은 지난 주말에 비디오 게임을 즐기며 집에서 시간을 보냈고, #Person2#는 집에서 편안하게 활동하는 것의 이점을 이야기합니다.","#Person1#: 지난 주말에 집에만 있고 싶어서 혼자 비디오 게임을 했어. 진짜 재밌더라! #Person2#: 아, 그래?"
487,0.25641025641025644,"#Person1#: 새 집에 중국 전통 요소를 좀 추가하고 싶어.
#Person2#: 그거 좋다! 나도 그 스타일 정말 좋아해. 중국 요소를 잘 표현하려면 빨간색을 사용하는 게 좋아. 중국에서는 빨간색이 가장 대표적이거든.
#Person1#: 맞아, 네 말에 동의해. 문이나 창문에는 격자 무늬를 사용하고 싶어. 그게 중국식 장식에서 중요한 요소인 것 같아.
#Person2#: 맞아. 중국 스타일을 잘 이해하고 있는 것 같아. 중국 풍경화 두 점을 걸어두는 것도 괜찮을 것 같아.
#Person1#: 좋은 생각이야. 오후에 사러 갈게. 벽도 다시 칠하고 새 소파도 사고 싶어.
#Person2#: 벽은 무슨 색으로 칠할 거야?
#Person1#: 아직 모르겠지만, 밝은 색상을 사용하고 싶어. 그런 색상이 생동감 있어 보여.
#Person2#: 소파는 어떤 걸로 할 거야?
#Person1#: 아직 생각이 없어.","#Person1#은 새 집에 중국 전통 요소를 추가하는 것을 원한다. #Person2#는 #Person1#에게 몇 가지 제안을 하며, #Person1#은 아직 소파와 벽 색상을 결정하지 못했다.",#Person1#: 새 집에 중국 전통 요소를 좀 추가하고 싶어. #Person2#: 그거 좋다! 나도 그 스타일 정말 좋아해.
308,0.25,"#Person1#: 오늘 밤에 시간 있어? 
#Person2#: 무슨 일 있어? 
#Person1#: 오늘 밤 축구 생중계가 있거든. 
#Person2#: 어떤 팀이 하는데? 
#Person1#: AC 밀란이랑 레알 마드리드가 붙어. 
#Person2#: 힘든 경기겠네? 
#Person1#: 그러게. 
#Person2#: 뭐하고 있어, 벌써 7시야. 빨리 가서 음료랑 디저트 사자. 
#Person1#: 좋은 생각이야! 가자!",#Person1#가 #Person2#에게 오늘 밤 축구 경기를 함께 보자고 제안한다.,#Person1#: 오늘 밤에 시간 있어? #Person2#: 무슨 일 있어? #Person1#: 오늘 밤 축구 생중계가 있거든.
200,0.25,"#Person1#: 안녕, 샘. 나 애완동물 사려고 하는데 좋은 아이디어 있어?
#Person2#: 레이첼의 애완동물 가게에 가보라고 정말 추천해.
#Person1#: 왜? 특별한 게 있어?
#Person2#: 특별한 정도가 아니야. 이름 붙일 수 있는 모든 종류의 동물들이 있고, 더 많은 것들도 있어.
#Person1#: 오, 진짜? 뱀도 있어?
#Person2#: 뱀? 설치류랑 원숭이까지 있어! 이국적인 애완동물의 세계야.
#Person1#: 대단하다. 얼른 가보고 싶어.
#Person2#: 잠깐만. 전통적이지 않은 애완동물을 키우는 거 확실해?
#Person1#: 왜 안돼? 엄청 멋지잖아.
#Person2#: 그렇지만 건강에 위험할 수 있어.
#Person1#: 뭐라고?
#Person2#: 대부분의 파충류는 해로운 박테리아를 가지고 있어. 면역 시스템 문제를 일으킬 가능성이 높아.
#Person1#: 아, 그건 몰랐네.
#Person2#: 특히 어린 아이가 있는 가족에게 그런 애완동물을 키우는 건 좋은 선택이 아니라고 생각해.
#Person1#: 오, 내 남동생 딸을 생각했어야 했는데. 아마 이국적인 애완동물보다 그냥 개를 키워야겠어.
#Person2#: 그래, 마리아. 행운을 빌어.","마리아는 애완동물을 사려고 하고, 샘은 레이첼의 애완동물 가게에 가보라고 제안한다. 마리아는 뱀을 키우고 싶어하지만, 샘은 건강상의 이유로 전통적이지 않은 애완동물을 키우지 말라고 설득한다.","#Person1#: 안녕, 샘. 나 애완동물 사려고 하는데 좋은 아이디어 있어? #Person2#: 레이첼의 애완동물 가게에 가보라고 정말 추천해."
233,0.24390243902439027,"#Person1#: 수잔, 너 고대 중국에서 가장 못생긴 네 명의 여인에 대해 들어본 적 있어?
#Person2#: 아니, 나는 중국의 네 명의 미녀들만 알아.
#Person1#: 역사적으로 유명한 못생긴 여인들도 있었어.
#Person2#: 그래? 그 사람들이 못생겨서 유명했어?
#Person1#: 못생겼지만 덕이 훌륭했어.
#Person2#: 그럼 그 사람들이 누구야?
#Person1#: 모무, 종리춘, 몽광, 그리고 루안여야. 그들은 존경받았어.
#Person2#: 역시 내면의 아름다움이 중요하구나.
#Person1#: 때로는 내면의 아름다움이 더 멋지지.",#Person1#은 수잔에게 고대 중국에서 덕이 훌륭했던 네 명의 가장 못생긴 여인들에 대해 소개했습니다.,"#Person1#: 수잔, 너 고대 중국에서 가장 못생긴 네 명의 여인에 대해 들어본 적 있어? #Person2#: 아니, 나는 중국의 네 명의 미녀들만 알아. #Person1#: 역사적으로 유명한 못생긴 여인들도 있었어."
102,0.2439024390243902,"#Person1#: 안녕하세요, 노트북을 가지고 왔는데 제 방에서 인터넷을 어떻게 사용할 수 있나요?
#Person2#: 음, 지금은 방에서는 인터넷을 사용할 수 없지만, 저희 호텔 12층에 있는 인터넷 라운지를 이용하시면 됩니다.
#Person1#: 감사합니다. 그럼 거기로 가야겠네요.",#Person2#는 #Person1#에게 호텔 12층에 있는 인터넷 라운지를 이용할 수 있다고 안내합니다.,"#Person1#: 안녕하세요, 노트북을 가지고 왔는데 제 방에서 인터넷을 어떻게 사용할 수 있나요? #Person2#: 음, 지금은 방에서는 인터넷을 사용할 수 없지만, 저희 호텔 12층에 있는 인터넷 라운지를 이용하시면 됩니다. #Person1#: 감사합니다."
168,0.2424242424242424,"#Person1#: 이번 크리스마스에는 우리 가족을 위해 특별한 걸 해보자.
#Person2#: 어떤 거 생각하고 있어?
#Person1#: 아직 잘 모르겠어.
#Person2#: 그냥 의미 없는 선물 주고받기를 벗어나고 싶어.
#Person1#: 그 마음 이해해.
#Person2#: 정말로 의미 있는 선물을 주고 싶어.
#Person1#: 아니면 우리가 그들을 위해 시간을 써서 준비한 걸 보여주는 것도 좋지.
#Person2#: 아니면 우리만이 줄 수 있는 걸 줄 수도 있잖아.","#Person1#과 #Person2#는 이번 크리스마스에 가족을 위해 특별한 일을 계획하며, 의미 있는 선물을 주고받고 싶어 한다.",#Person1#: 이번 크리스마스에는 우리 가족을 위해 특별한 걸 해보자. #Person2#: 어떤 거 생각하고 있어? #Person1#: 아직 잘 모르겠어.
184,0.2380952380952381,"#Person1#: Rick이 일하는 법률 사무소의 상사가 그를 브라질로 한 달 동안 일하러 보내게 됐다던데, 들었어?
#Person2#: 와, 좋겠다. 모든 비용이 다 제공된다니 Rick이 무척 좋아하겠네. 항공편, 식사, 호텔 비용까지 전부 포함이라면서... 게다가 이번이 처음으로 미국을 벗어나는 거래.
#Person1#: 맞아. Rick이 얼마나 기대하고 있는지, 그리고 그의 여동생이 그를 얼마나 존경하는지 정말 알 수 없어! 일 끝나고 해변에서 즐기고, 여동생에게 줄 선물도 사기로 했대.
#Person2#: Rick 혼자 가는 거야?
#Person1#: 응, 혼자 가는 거래.
#Person2#: 언제 떠난대?
#Person1#: 삼일 전에 들었는데, 아마 일주일 후쯤 떠날 것 같아.","#Person1#은 #Person2#에게 Rick이 일주일 후 브라질로 떠나 한 달간 일할 예정이며, 혼자 가며 모든 비용이 제공된다고 말했다.","#Person1#: Rick이 일하는 법률 사무소의 상사가 그를 브라질로 한 달 동안 일하러 보내게 됐다던데, 들었어? #Person2#: 와, 좋겠다. 모든 비용이 다 제공된다니 Rick이 무척 좋아하겠네."
2,0.23529411764705882,"#Person1#: 나 진짜 건강에 안 좋은 음식 좀 그만 먹어야겠어. 
#Person2#: 맞아, 무슨 말인지 알아. 나도 요즘 건강하게 먹으려고 하거든. 
#Person1#: 요즘은 뭐 먹어? 
#Person2#: 주로 과일이랑 채소, 닭고기 먹지. 
#Person1#: 그게 다야? 
#Person2#: 거의 그렇지 뭐. 
#Person1#: 왜 다른 건 안 먹어? 
#Person2#: 음, 과일이랑 채소는 진짜 건강에 좋잖아. 
#Person1#: 그럼 닭고기는? 
#Person2#: 구워 먹으면 정말 건강에 좋아. 
#Person1#: 그래, 그게 훨씬 건강해 보이네.","#Person1#은 건강에 안 좋은 음식을 그만 먹기로 결심하고, #Person2#는 자신의 건강한 식단을 #Person1#에게 공유합니다.","#Person1#: 나 진짜 건강에 안 좋은 음식 좀 그만 먹어야겠어. #Person2#: 맞아, 무슨 말인지 알아. 나도 요즘 건강하게 먹으려고 하거든."
192,0.23076923076923078,"#Person1#: 너 켄터키에서 가장 특별한 행사가 뭔지 알아?
#Person2#: 세계적인 말 경주나 할리우드 스타들?
#Person1#: 아니, 모자야. 모자 퍼레이드!
#Person2#: 굉장하다! 모자 퍼레이드에는 다양한 종류의 모자가 있니?
#Person1#: 응, 완전 모자의 축제야. 모자는 미국 남부의 패션 전통일 뿐만 아니라 행운을 부른다고도 해.
#Person2#: 모자 퍼레이드는 언제 열려?
#Person1#: 매년 5월 첫 번째 토요일에 열려. 켄터키에서 가장 신나는 날이야.",#Person1#은 #Person2#에게 켄터키에서 가장 특별한 행사인 모자 퍼레이드를 소개한다.,"#Person1#: 너 켄터키에서 가장 특별한 행사가 뭔지 알아? #Person2#: 세계적인 말 경주나 할리우드 스타들? #Person1#: 아니, 모자야."
327,0.22222222222222224,"#Person1#: 나 좀 쇼핑해야 돼. 
#Person2#: 뭐 사려고? 
#Person1#: 새 침실 세트를 사려고 해. 
#Person2#: 어느 가게 갈 거야? 
#Person1#: 아직 잘 모르겠어. 
#Person2#: 몰라? 
#Person1#: 어디서 사야 할지 모르겠어. 
#Person2#: 내가 어디서 샀는지 알려줄까? 
#Person1#: 그래주면 고맙지. 
#Person2#: 난 IKEA에서 샀어. 
#Person1#: IKEA 가구는 싸? 
#Person2#: 싼 건 아니지만, 가구 질도 그만큼 괜찮아.",#Person1#은 새 침실 세트를 사고 싶지만 어디서 살지 결정하지 못했습니다. #Person2#는 IKEA를 추천합니다.,#Person1#: 나 좀 쇼핑해야 돼. #Person2#: 뭐 사려고? #Person1#: 새 침실 세트를 사려고 해.
286,0.2222222222222222,"#Person1#: 드디어 유전학 박사 학위를 땄구나. 축하해! 
#Person2#: 고마워. 이제 직장을 구해야겠어. 
#Person1#: 어떤 일을 할 생각이야? 
#Person2#: 유전자 관련 과학 연구를 하고 싶어. 의학적 돌파구를 만들어낸다면 정말 멋질 거야. 
#Person1#: 너 같은 사람을 필요로 하는 사기업들이 여럿 있을 거야. 대학교에서도 연구를 해볼 수 있고. 요즘 유전학에 대한 논의가 많더라. 
#Person2#: 맞아, 많은 회사들과 대학교가 유전학에 자원을 투자하고 있어. 그래서 어디서 다음 발견이 나올지 모르겠어. 
#Person1#: 그나저나, 과학자들이 나를 복제하려고 하지는 않겠지! 난 실험 대상이 되고 싶지 않거든.",#Person2#가 유전학 박사 학위를 받았고 유전자 연구에 관한 직장을 찾고 싶어 한다. #Person1#은 사기업이나 대학교에서 일하는 것을 제안한다.,#Person1#: 드디어 유전학 박사 학위를 땄구나. 축하해! #Person2#: 고마워.
416,0.2222222222222222,"#Person1#: 도움이 필요하신가요? 
#Person2#: Sharp DVD 플레이어를 찾고 있어요. 
#Person1#: 물론이죠. 특별히 찾으시는 모델이 있으신가요? 
#Person2#: 네, DS102 시리즈요. 
#Person1#: 아, 안타깝게도 그건 다 팔렸어요. 정말 인기 있었거든요. 
#Person2#: 더 들어올 예정인가요? 
#Person1#: 네, 하지만 2주 정도 후에나 들어올 것 같아요.","#Person2#는 Sharp DVD 플레이어 DS102 시리즈를 찾고 있지만, #Person1#은 약 2주 후에야 재고가 들어올 것이라고 설명합니다.",#Person1#: 도움이 필요하신가요? #Person2#: Sharp DVD 플레이어를 찾고 있어요. #Person1#: 물론이죠.
337,0.21428571428571427,"#Person1#: 저기요, 이 원단으로 양복을 하나 맞추고 싶어요.
#Person2#: 알겠습니다, 손님. 먼저 치수를 재도 될까요?
#Person1#: 네, 코트를 벗을까요?
#Person2#: 그러시면 도움이 됩니다. 감사합니다.
#Person1#: 싱글 브레스티드로 해 주세요.
#Person2#: 문제없습니다. 잠시만 기다리시면 영수증을 작성해 드릴게요.
#Person1#: 얼마죠?
#Person2#: 어디 보자, 패딩과 안감까지 해서 모두 357달러입니다.
#Person1#: 알겠습니다. 언제 받을 수 있나요?
#Person2#: 2주 후에 가능합니다.
#Person1#: 감사합니다.","#Person1#은 싱글 브레스티드 양복을 맞추고 싶어합니다. #Person2#는 #Person1#의 치수를 재고, 가격이 357달러라고 안내합니다.","#Person1#: 저기요, 이 원단으로 양복을 하나 맞추고 싶어요. #Person2#: 알겠습니다, 손님. 먼저 치수를 재도 될까요?"
492,0.21428571428571427,"#Person1#: 저기요, 지금 8명이 앉을 수 있는 테이블 있나요?
#Person2#: 잠시만요... 죄송하지만, 원하는 테이블은 예약이 꽉 찼습니다.
#Person1#: 그러면 작은 사각 테이블들을 붙여서 사용할 수 있을까요?
#Person2#: 문제없습니다, 손님. 제가 도와드리겠습니다.",#Person2#가 #Person1#을 도와 작은 테이블들을 붙여 8명이 앉을 수 있도록 준비하였습니다.,"#Person1#: 저기요, 지금 8명이 앉을 수 있는 테이블 있나요? #Person2#: 잠시만요... 죄송하지만, 원하는 테이블은 예약이 꽉 찼습니다."
188,0.20689655172413793,"#Person1#: 맞춤 제작 스커트를 주문하고 싶어요.
#Person2#: 사이즈를 재도 될까요?
#Person1#: 네, 허리는 조금 딱 맞았으면 해요.
#Person2#: 알겠습니다.
#Person1#: 얼마나 걸릴까요?
#Person2#: 약 일주일 정도요.
#Person1#: 맞춤 제작 비용은 얼마인가요?
#Person2#: 스커트 하나에 20위안입니다.",#Person1#은 #Person2#에게 맞춤 제작 스커트를 주문하며 제작 소요 시간과 비용에 대해 문의합니다.,"#Person1#: 맞춤 제작 스커트를 주문하고 싶어요. #Person2#: 사이즈를 재도 될까요? #Person1#: 네, 허리는 조금 딱 맞았으면 해요."
295,0.20512820512820512,"#Person1#: 내 차가 아침에 잘 시동이 안 걸려서 자주 회사에 늦어. 새 차 사는 게 나을까 봐. 
#Person2#: 그나, Jimmy's garage에 가 보는 게 어때? 난 항상 거기 가는데, 20년 경력이 있고 특히 오래된 차 수리에 능해. 
#Person1#: 고마워, 지난번에 다른 정비소 갔을 때는 문제 해결이 제대로 안 됐어. 
#Person2#: 그럼 지금 전화해서 예약 잡아봐. 그들은 일을 잘해. 보통 6시 이후엔 한가해.",Gina의 차가 아침에 시동이 잘 걸리지 않아 #Person2#는 Gina에게 Jimmy's garage에서 수리를 받으라고 추천합니다.,"#Person1#: 내 차가 아침에 잘 시동이 안 걸려서 자주 회사에 늦어. 새 차 사는 게 나을까 봐. #Person2#: 그나, Jimmy's garage에 가 보는 게 어때?"
380,0.20000000000000004,"#Person1#: 도와드릴까요?
#Person2#: 네, 지금 신는 신발을 대체할 새 신발을 사고 싶어요.
#Person1#: 지금 신발이 왜 그러시죠?
#Person2#: 너무 낡고 허름해요.
#Person1#: 너무 닳았네요. 같은 색으로 드릴까요?
#Person2#: 네.
#Person1#: 이 밝은 갈색은 어떠세요?
#Person2#: 네, 한번 신어볼게요.
#Person1#: 정말 멋져 보이네요.
#Person2#: 문제는 불편하다는 거예요.
#Person1#: 그럼 비슷한 스타일의 다른 신발을 신어보세요.
#Person2#: 훨씬 좋네요. 혹시 빨간색도 있나요?
#Person1#: 네, 있습니다. 두 켤레 다 드릴까요?
#Person2#: 네, 너무 비싸지 않으면요.
#Person1#: 아, 아니에요. 두 번째 신발은 반값이에요. 두 켤레 다 상자에 넣어드릴까요?
#Person2#: 빨간색과 오래된 신발만 주세요. 새 갈색은 신고 가려고요.",#Person2#는 #Person1#의 도움으로 낡은 신발을 대체할 비슷한 스타일의 새 신발 두 켤레를 구입합니다.,"#Person1#: 도와드릴까요? #Person2#: 네, 지금 신는 신발을 대체할 새 신발을 사고 싶어요. #Person1#: 지금 신발이 왜 그러시죠?"
4,0.2,"#Person1#: 오늘 학교 갔어?
#Person2#: 당연히 갔지. 너는?
#Person1#: 가기 싫어서 안 갔어.
#Person2#: 아쉽네. 근데 영화 본 지는 얼마 안 됐어?
#Person1#: 화제를 바꾸네.
#Person2#: 진지하게 묻는 거야, 본 적 있어?
#Person1#: 아니, 안 봤어. 왜?
#Person2#: 이번 주말에 정말 영화 보러 가고 싶거든.
#Person1#: 그럼 가.
#Person2#: 혼자 가기는 좀 싫어.
#Person1#: 아무튼, 내일은 학교 갈 거야?
#Person2#: 아니, 내일은 영화 보러 갈까 생각 중이야.","#Person1#은 오늘 학교에 가지 않았고, #Person2#는 내일 학교 대신 영화관에 가고 싶어합니다.",#Person1#: 오늘 학교 갔어? #Person2#: 당연히 갔지. 너는?
